               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11061,            0.052555,                   0,           0.0038095,             0.14545,           0.0023473,          0.00041762,             0.10579,            0.032408,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.10813,            0.054209,                   0,           0.0041667,             0.18182,           0.0024844,          0.00055355,             0.10149,            0.033648,                   0,            0.095498,          0.00049835,          0.00049835
                   2,             0.10474,            0.055693,                   0,              0.0075,             0.16364,           0.0064201,           0.0016992,            0.096655,            0.035015,                   0,            0.092795,          0.00079472,          0.00079472
                   3,             0.10081,            0.060187,                   0,           0.0083333,             0.36364,           0.0058111,           0.0012656,            0.092112,            0.036211,                   0,            0.090089,           0.0010891,           0.0010891
                   4,             0.09756,            0.053916,                   0,           0.0066667,             0.47273,           0.0051184,           0.0012187,             0.08835,             0.03754,                   0,            0.087382,           0.0013815,           0.0013815
                   5,            0.095289,            0.060177,                   0,           0.0059524,             0.45455,           0.0052271,           0.0012314,            0.085375,             0.03796,                   0,            0.084672,            0.001672,            0.001672
                   6,            0.093302,            0.059551,                   0,           0.0059524,             0.45455,           0.0052703,           0.0013672,            0.083086,            0.038177,                   0,             0.08196,           0.0019604,           0.0019604
                   7,             0.09178,             0.06008,                   0,           0.0066667,             0.50909,           0.0064307,           0.0016476,            0.081035,            0.038864,                   0,            0.079247,           0.0022469,           0.0022469
                   8,            0.090795,             0.06285,                   0,           0.0066667,             0.50909,           0.0064307,           0.0016255,            0.079253,            0.039452,                   0,            0.076531,           0.0025314,           0.0025314
                   9,            0.090703,            0.062425,                   0,           0.0066667,             0.50909,           0.0060494,           0.0014956,             0.07792,             0.03936,                   0,            0.073814,           0.0028139,           0.0028139
                  10,            0.090743,            0.060432,                   0,           0.0066667,             0.50909,            0.006117,           0.0015031,            0.076935,            0.039703,                   0,            0.071094,           0.0030944,           0.0030944
                  11,            0.088708,            0.060909,                   0,            0.007381,             0.56364,           0.0084276,           0.0020515,            0.076004,            0.039501,                   0,            0.068373,           0.0033729,           0.0033729
                  12,            0.089117,            0.060913,                   0,           0.0069048,             0.52727,           0.0066437,           0.0014951,            0.075308,            0.039764,                   0,             0.06565,           0.0036495,           0.0036495
                  13,            0.088408,             0.06389,                   0,           0.0071429,             0.54545,           0.0082169,           0.0017886,            0.074658,            0.040001,                   0,            0.062924,           0.0039241,           0.0039241
                  14,             0.08719,            0.064116,                   0,           0.0071429,             0.54545,           0.0081423,           0.0017856,            0.074171,            0.040199,                   0,            0.060197,           0.0041967,           0.0041967
                  15,            0.086725,            0.065591,                   0,            0.007381,             0.56364,           0.0077821,           0.0017635,            0.073628,             0.04039,                   0,            0.057467,           0.0044673,           0.0044673
                  16,            0.086726,            0.053673,                   0,           0.0080952,             0.61818,           0.0095345,           0.0018782,            0.073028,            0.040699,                   0,            0.054736,            0.004736,            0.004736
                  17,             0.08653,            0.059751,                   0,            0.007619,             0.58182,           0.0092083,           0.0019283,            0.072658,            0.040413,                   0,            0.052003,           0.0050027,           0.0050027
                  18,            0.085913,            0.063908,                   0,           0.0078571,                 0.6,           0.0088252,           0.0019673,            0.072483,            0.040535,                   0,            0.049267,           0.0052674,           0.0052674
                  19,            0.086245,            0.065667,                   0,            0.007381,             0.56364,           0.0076248,           0.0019251,            0.072618,            0.040489,                   0,             0.04653,           0.0055301,           0.0055301
                  20,            0.085826,            0.059369,                   0,           0.0071429,             0.54545,           0.0078035,           0.0019061,            0.072485,            0.040569,                   0,            0.043791,           0.0057908,           0.0057908
                  21,            0.084992,            0.062557,                   0,           0.0071429,             0.54545,           0.0074741,           0.0018036,            0.072324,            0.040215,                   0,             0.04105,           0.0060495,           0.0060495
                  22,            0.084667,            0.062839,                   0,            0.007381,             0.56364,           0.0077399,            0.001839,             0.07219,            0.040257,                   0,            0.038306,           0.0063063,           0.0063063
                  23,            0.086277,             0.06302,                   0,            0.007619,             0.58182,           0.0078751,            0.001888,            0.072014,            0.040409,                   0,            0.035561,           0.0065611,           0.0065611
                  24,            0.084943,            0.064984,                   0,            0.007619,             0.58182,           0.0085459,           0.0018087,            0.072055,            0.040489,                   0,            0.032814,           0.0068139,           0.0068139
                  25,            0.085128,            0.064425,                   0,           0.0092857,             0.70909,           0.0093316,           0.0019341,            0.072099,            0.040577,                   0,            0.030065,           0.0070648,           0.0070648
                  26,             0.08429,            0.065346,                   0,           0.0090476,             0.69091,           0.0095595,           0.0019741,            0.072031,             0.04068,                   0,            0.027314,           0.0073136,           0.0073136
                  27,            0.083434,             0.06276,                   0,           0.0083333,             0.63636,            0.012075,           0.0028048,            0.071991,            0.040817,                   0,             0.02456,           0.0075605,           0.0075605
                  28,            0.082348,            0.063561,                   0,           0.0097619,             0.74545,            0.011282,           0.0025667,             0.07195,            0.040943,                   0,            0.021805,           0.0078054,           0.0078054
                  29,             0.08231,            0.058359,                   0,                0.01,             0.76364,            0.030282,           0.0067513,             0.07183,            0.041092,                   0,            0.019048,           0.0080483,           0.0080483
                  30,            0.080812,            0.064578,                   0,            0.010238,             0.78182,            0.074853,            0.017486,            0.071653,            0.041233,                   0,            0.016289,           0.0082892,           0.0082892
                  31,            0.080359,            0.061477,                   0,                0.01,             0.76364,            0.092689,            0.028732,            0.071533,            0.041237,                   0,            0.013528,           0.0085281,           0.0085281
                  32,            0.079167,            0.064729,                   0,            0.010476,                 0.8,             0.09544,            0.030358,            0.071489,            0.040981,                   0,            0.010765,           0.0087651,           0.0087651
                  33,            0.078404,            0.059708,                   0,                0.01,             0.76364,             0.11588,            0.034888,            0.071132,            0.041718,                   0,            0.008911,            0.008911,            0.008911
                  34,            0.076964,            0.059425,                   0,           0.0088095,             0.67273,             0.10492,            0.034216,            0.071544,            0.040905,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.076738,            0.061837,                   0,           0.0080952,             0.61818,             0.02989,            0.010265,            0.071961,            0.039192,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.074588,             0.06377,                   0,           0.0071429,             0.54545,           0.0080458,           0.0021575,            0.071947,            0.039516,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.074773,            0.056441,                   0,           0.0078571,                 0.6,           0.0099458,           0.0023652,            0.071725,            0.039623,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.072089,            0.058627,                   0,           0.0078571,                 0.6,           0.0098968,           0.0026485,            0.070829,            0.040485,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.072851,            0.056122,                   0,            0.007619,             0.58182,            0.097674,            0.015707,            0.071239,            0.039597,                   0,            0.008746,            0.008746,            0.008746
