               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12516,            0.046154,                   0,                   0,                   0,                   0,                   0,             0.12828,            0.030056,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12021,            0.047602,                   0,          0.00090909,            0.054545,          0.00050484,          0.00019609,             0.11857,            0.030432,                   0,            0.095498,          0.00049835,          0.00049835
                   2,              0.1133,            0.049269,                   0,            0.002619,                 0.2,           0.0016362,          0.00034283,             0.10521,            0.032303,                   0,            0.092795,          0.00079472,          0.00079472
                   3,             0.10353,            0.055134,                   0,           0.0080952,             0.61818,           0.0073367,           0.0016307,            0.095593,            0.033819,                   0,            0.090089,           0.0010891,           0.0010891
                   4,            0.097458,            0.049625,                   0,            0.011905,             0.90909,            0.020391,           0.0065158,            0.081555,            0.036701,                   0,            0.087382,           0.0013815,           0.0013815
                   5,            0.091567,            0.056567,                   0,            0.023403,                 0.8,             0.11637,            0.035876,            0.080107,            0.034592,                   0,            0.084672,            0.001672,            0.001672
                   6,            0.085401,             0.05618,                   0,             0.61831,             0.43636,             0.44693,             0.16633,            0.073362,            0.032982,                   0,             0.08196,           0.0019604,           0.0019604
                   7,            0.081174,            0.053778,                   0,             0.37942,             0.41818,              0.3099,            0.092017,            0.073195,              0.0289,                   0,            0.079247,           0.0022469,           0.0022469
                   8,             0.07738,            0.053764,                   0,             0.33276,             0.49091,             0.25672,            0.067561,             0.07641,             0.02742,                   0,            0.076531,           0.0025314,           0.0025314
                   9,            0.076813,            0.050179,                   0,             0.32914,             0.46392,             0.43491,               0.124,            0.068215,            0.040913,                   0,            0.073814,           0.0028139,           0.0028139
                  10,            0.072811,            0.046785,                   0,             0.24034,             0.30909,             0.22362,            0.059372,            0.069688,            0.066895,                   0,            0.071094,           0.0030944,           0.0030944
                  11,            0.067398,            0.046064,                   0,             0.33203,             0.43636,              0.3375,             0.10868,            0.064203,            0.035744,                   0,            0.068373,           0.0033729,           0.0033729
                  12,             0.06621,            0.043033,                   0,              0.2459,             0.26686,             0.17719,            0.066624,            0.070356,            0.026577,                   0,             0.06565,           0.0036495,           0.0036495
                  13,            0.065541,            0.043239,                   0,             0.47389,                 0.6,             0.56379,              0.2269,            0.055581,            0.026165,                   0,            0.062924,           0.0039241,           0.0039241
                  14,            0.064466,             0.04195,                   0,             0.22752,             0.47273,             0.22612,            0.096453,            0.079671,            0.028496,                   0,            0.060197,           0.0041967,           0.0041967
                  15,            0.062694,            0.041037,                   0,             0.54968,             0.68804,             0.61658,             0.28628,             0.05059,            0.023993,                   0,            0.057467,           0.0044673,           0.0044673
                  16,            0.061623,             0.03319,                   0,             0.42891,             0.38182,             0.42265,             0.19312,            0.070917,            0.020861,                   0,            0.054736,            0.004736,            0.004736
                  17,            0.060007,            0.036241,                   0,             0.69862,             0.72727,             0.71344,             0.35544,            0.050752,             0.02103,                   0,            0.052003,           0.0050027,           0.0050027
